Date,Model_Strategy,Buy_Hold,Signal
2015-01-30,10000.0,10000.0,1
2015-02-02,9990.011568700002,10125.4144,1
2015-02-03,9981.689069800002,10127.104000000001,0
2015-02-04,9971.728582300004,10204.7488,1
2015-02-05,10042.791082300006,10277.516800000001,1
2015-02-06,9958.341082300005,10191.04,1
2015-02-09,10024.416082300004,10258.7008,1
2015-02-10,10216.791082300004,10455.6928,1
2015-02-11,10455.966082300005,10700.608,1
2015-02-12,10588.116082300005,10835.9296,1
2015-02-13,10639.978582300004,10889.0368,1
2015-02-17,10702.716082300005,10953.28,1
2015-02-18,10777.153582300005,11029.503999999999,1
2015-02-19,10754.578582300004,11006.387200000001,1
2015-02-20,10831.572419800004,11096.32,0
2015-02-23,10831.572419800004,11396.070399999999,0
2015-02-24,10831.572419800004,11324.992,0
2015-02-25,10831.572419800004,11035.4944,0
2015-02-26,10831.572419800004,11175.1168,0
2015-02-27,10831.572419800004,11007.232,0
2015-03-02,10831.572419800004,11061.184,0
2015-03-03,10831.572419800004,11084.3008,0
2015-03-04,10831.572419800004,11014.0672,0
2015-03-05,10831.572419800004,10831.6672,0
2015-03-06,10831.572419800004,10847.9488,0
2015-03-09,10831.572419800004,10894.1824,0
2015-03-10,10831.572419800004,10668.928,0
2015-03-11,10831.572419800004,10474.5088,1
2015-03-12,10831.572419800004,10663.7824,1
2015-03-13,10820.766979000005,10590.131200000002,1
2015-03-16,10939.660579000005,10706.5984,1
2015-03-17,11111.303894200004,10885.6192,0
2015-03-18,11111.303894200004,11008.0768,0
2015-03-19,11111.303894200004,10925.017600000001,0
2015-03-20,11111.303894200004,10787.968,0
2015-03-23,11111.303894200004,10900.1728,0
2015-03-24,11111.303894200004,10855.6288,0
2015-03-25,11100.214099900006,10572.16,1
2015-03-26,11166.342410200006,10645.8112,0
2015-03-27,11166.342410200006,10561.024,0
2015-03-30,11166.342410200006,10828.2496,0
2015-03-31,11166.342410200006,10662.0928,1
2015-04-01,11155.202146000007,10646.656,1
2015-04-02,11239.923324400008,10738.3168,0
2015-04-06,11239.923324400008,10912.1536,0
2015-04-07,11239.923324400008,10797.4144,0
2015-04-08,11239.923324400008,10762.278400000001,0
2015-04-09,11239.923324400008,10844.4928,0
2015-04-10,11239.923324400008,10890.764799999999,0
2015-04-13,11239.923324400008,10869.3376,0
2015-04-14,11239.923324400008,10822.220800000001,0
2015-04-15,11239.923324400008,10863.3472,0
2015-04-16,11239.923324400008,10811.0848,0
2015-04-17,11228.710413600009,10689.472,1
2015-04-20,11484.897513600008,10933.5808,1
2015-04-21,11422.875813600009,10874.4832,1
2015-04-22,11576.58001360001,11020.9408,1
2015-04-23,11659.30745060001,11110.8736,0
2015-04-24,11659.30745060001,11163.0976,0
2015-04-27,11659.30745060001,11366.08,0
2015-04-28,11659.30745060001,11187.0976,0
2015-04-29,11659.30745060001,11022.6304,0
2015-04-30,11659.30745060001,10723.7632,0
2015-05-01,11659.30745060001,11049.2032,0
2015-05-04,11659.30745060001,11027.776,0
2015-05-05,11647.66346360001,10779.4048,1
2015-05-06,11574.54046360001,10711.744,1
2015-05-07,11634.48551210001,10777.983999999999,0
2015-05-08,11634.48551210001,10980.928,0
2015-05-11,11634.48551210001,10869.1456,1
2015-05-12,11622.87094370001,10830.438400000001,1
2015-05-13,11635.80774370001,10842.496000000001,1
2015-05-14,11895.169777700012,11095.321600000001,0
2015-05-15,11883.287615300012,11079.8464,1
2015-05-18,12002.290436900013,11201.958400000001,0
2015-05-19,12002.290436900013,11191.6672,0
2015-05-20,12002.290436900013,11190.784000000001,0
2015-05-21,12002.290436900013,11305.1776,0
2015-05-22,12002.290436900013,11404.096,0
2015-05-26,12002.290436900013,11152.960000000001,0
2015-05-27,12002.290436900013,11361.088000000002,0
2015-05-28,12002.290436900013,11338.7392,0
2015-05-29,12002.290436900013,11209.7152,0
2015-06-01,12002.290436900013,11232.064,0
2015-06-02,12002.290436900013,11182.1824,0
2015-06-03,12002.290436900013,11195.968,0
2015-06-04,12002.290436900013,11130.611200000001,0
2015-06-05,12002.290436900013,11069.516800000001,0
2015-06-08,12002.290436900013,10996.4416,0
2015-06-09,12002.290436900013,10963.7632,0
2015-06-10,12002.290436900013,11089.2928,0
2015-06-11,12002.290436900013,11064.3712,0
2015-06-12,12002.290436900013,10942.2592,0
2015-06-15,12002.290436900013,10920.7552,0
2015-06-16,12002.290436900013,10979.2384,0
2015-06-17,12002.290436900013,10953.4336,0
2015-06-18,12002.290436900013,11003.3152,0
2015-06-19,12002.290436900013,10893.2224,0
2015-06-22,12002.290436900013,10980.083200000001,0
2015-06-23,12002.290436900013,10930.2016,0
2015-06-24,12002.290436900013,11023.0912,0
2015-06-25,12002.290436900013,10970.6368,0
2015-06-26,12002.290436900013,10906.1248,0
2015-06-29,12002.290436900013,10715.199999999999,0
2015-06-30,12002.290436900013,10792.6144,0
2015-07-01,12002.290436900013,10893.2224,0
2015-07-02,12002.290436900013,10879.4752,0
2015-07-06,12002.290436900013,10841.6128,0
2015-07-07,12002.290436900013,10814.9632,0
2015-07-08,12002.290436900013,10546.624,1
2015-07-09,12002.290436900013,10331.6224,1
2015-07-10,11990.307436500014,10607.68,1
2015-07-13,12221.672836500013,10812.3904,1
2015-07-14,12216.812036500014,10808.089600000001,1
2015-07-15,12334.426036500014,10912.1536,1
2015-07-16,12498.695036500014,11057.4976,1
2015-07-17,12593.988156100013,11152.960000000001,0
2015-07-20,12593.988156100013,11363.6608,0
2015-07-21,12593.988156100013,11250.1504,0
